table,lev,lev_name,time,kuski
12,16,"New Wave","1:34,20",Champi0N
12,17,Labyrinth,"58,80",umiz
12,18,Spiral,"46,79",ZanguiZ
12,19,Turnaround,"40,03",Champi0N
12,20,"Upside Down","1:06,93",Joni
12,21,Hangman,"15,15",elg
12,22,Slalom,"42,86",TuA
12,23,"Quick Round","48,23",Jokke
12,24,"Ramp Frenzy","1:00,02",Jokke
12,25,Precarious,"25,11","AnTTiM [HfK]"
12,26,Circuitous,"27,65",Champi0N
12,27,"Shelf Life","38,00",Champi0N
12,28,"Bounce Back","54,84",Petri
12,29,Headbanger,"49,82",zeth
12,30,Pipe,"34,25",KingKong
12,31,"Animal Farm","1:28,81",KingKong
12,32,"Steep Corner","43,97",Hotwax
12,33,Zig-Zag,"1:35,84",zeth
12,34,"Bumpy Journey","38,42","Ekan [BAC]"
12,35,"Labyrinth Pro","2:38,45",loX
12,36,"Fruit in the Den","1:03,40",Jokke
12,37,Jaws,"1:00,70",Ntc
12,38,Curvaceous,"33,79",KingKong
12,39,Haircut,"44,90",KingKong
12,40,"Double Trouble","1:30,19",loX
12,41,Framework,"40,88",KingKong
12,42,Enduro,"51,45",Jokke
12,43,"He He","1:02,59",Karlis
12,44,Freefall,"33,65",Tier
12,45,Sink,"33,77",Hotwax
12,46,Bowling,"1:10,11",zeth
12,47,Enigma,"26,97",Rainman
12,48,Downhill,"54,77",Joni
12,49,"What the Heck","43,89",KingKong
12,50,"Expert System","1:01,13",loX
12,51,"Tricks Abound","56,53",Fulgore
12,52,"Hang Tight","26,80",zyntifox
12,53,Hooked,"18,17",oizo!
12,54,"Apple Harvest","1:55,98",Champi0N
13,1,"Warm Up","14,33",BoFaIQ
13,2,"Flat Track","16,87",mr
13,3,"Twin Peaks","20,01",DeG
13,4,"Over and Under","31,68",Champi0N
13,5,"Uphill Battle","22,12",Gazoline
13,6,"Long Haul","33,24",DMC
13,7,"Hi Flyer","35,56",Champi0N
13,8,Tag,"22,55",SoGe
13,9,"Tunnel Terror","1:04,52",Dr_Luni
13,10,"The Steppes","13,66",mr
13,11,"Gravity Ride","26,52",Joni
13,12,"Islands in the Sky","22,84",Gazoline
13,13,"Hill Legend","17,64",TuA
